scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,sync_mode,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,background_load_percent,background_target_bandwidth_mbps,pre_fault_fidelity,post_fault_fidelity,post_recovery_fidelity,node_count,link_count,sync_duration_ms,api_call_count,pre_fault_total_packets,pre_fault_total_bytes,post_detection_total_packets,post_detection_total_bytes,post_recovery_total_packets,post_recovery_total_bytes,resource_log_file,repeat_index,configured_repeat_count
recovery_scenario,2026-04-24T21:35:35.037685+00:00,2026-04-24T21:35:36.551113+00:00,2026-04-24T21:35:38.688213+00:00,1.513428,2.019529,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,0.841460919301371,0.9103842804419282,0.9781238895219376,8,10,137.77547201607376,28,454,35544,6010,18976652,20838,57870644,data/exports/load_linearity_recovery_50pct_resource_logs.csv,1,10
recovery_scenario,2026-04-24T21:35:48.795755+00:00,2026-04-24T21:35:49.034351+00:00,2026-04-24T21:35:52.933226+00:00,0.238596,3.49208,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,0.8432063568654034,0.861186253099366,0.9639804172922456,8,10,1932.0566719397902,28,450,35144,4246,5692756,12920,19943300,data/exports/load_linearity_recovery_50pct_resource_logs.csv,2,10
recovery_scenario,2026-04-24T21:36:10.619051+00:00,2026-04-24T21:36:12.559013+00:00,2026-04-24T21:36:14.671083+00:00,1.939962,1.921984,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,0.9070254719001993,0.9175120818561615,0.9882651568786794,8,10,110.35408498719335,28,1918,2327420,4586,8344668,13384,27332200,data/exports/load_linearity_recovery_50pct_resource_logs.csv,3,10
recovery_scenario,2026-04-24T21:36:26.106796+00:00,2026-04-24T21:36:28.905192+00:00,2026-04-24T21:36:30.999611+00:00,2.798396,1.596987,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,0.840828287229552,0.8442376575404129,0.979499076153564,8,10,87.63469301629812,28,440,34240,7374,25656780,15979,45449018,data/exports/load_linearity_recovery_50pct_resource_logs.csv,4,10
recovery_scenario,2026-04-24T21:36:41.102403+00:00,2026-04-24T21:36:42.949407+00:00,2026-04-24T21:36:45.084278+00:00,1.847004,1.817761,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,0.8414373651897439,0.8734406610164438,0.9877745046358599,8,10,130.46414393465966,28,448,34992,5944,20048192,18290,50155588,data/exports/load_linearity_recovery_50pct_resource_logs.csv,5,10
recovery_scenario,2026-04-24T21:36:54.704315+00:00,2026-04-24T21:36:56.556561+00:00,2026-04-24T21:36:59.652908+00:00,1.852246,2.768511,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,0.8417824912677392,0.8681471245275251,0.9818881540519175,8,10,1099.0259640384465,28,456,35748,5314,20200508,14046,59363084,data/exports/load_linearity_recovery_50pct_resource_logs.csv,6,10
recovery_scenario,2026-04-24T21:37:09.356436+00:00,2026-04-24T21:37:10.873138+00:00,2026-04-24T21:37:12.994192+00:00,1.516702,1.490738,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,0.840768355227271,0.8687435586023815,0.9968068276658892,8,10,117.58007504977286,28,452,35348,5358,17417564,14136,39420612,data/exports/load_linearity_recovery_50pct_resource_logs.csv,7,10
recovery_scenario,2026-04-24T21:37:22.233384+00:00,2026-04-24T21:37:23.698567+00:00,2026-04-24T21:37:25.814306+00:00,1.465183,1.958057,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,0.8414979450920805,0.8982007912757763,0.9930183399184842,8,10,118.8125730259344,28,438,34152,5746,19296540,14697,38659700,data/exports/load_linearity_recovery_50pct_resource_logs.csv,8,10
recovery_scenario,2026-04-24T21:37:35.189081+00:00,2026-04-24T21:37:36.769382+00:00,2026-04-24T21:37:38.929813+00:00,1.580301,1.598183,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,0.8418158267580157,0.8694806449957531,0.9808296681392381,8,10,160.3009420214221,28,442,34408,6162,19470068,15572,41006976,data/exports/load_linearity_recovery_50pct_resource_logs.csv,9,10
recovery_scenario,2026-04-24T21:37:48.932238+00:00,2026-04-24T21:37:50.339989+00:00,2026-04-24T21:37:52.900907+00:00,1.407751,2.320561,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,0.8409822322684561,0.8801215786251999,0.9836823587086377,8,10,552.326702978462,28,460,36020,6324,20290784,20878,56004480,data/exports/load_linearity_recovery_50pct_resource_logs.csv,10,10
