scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,sync_mode,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,background_load_percent,background_target_bandwidth_mbps,controller_event_queue_depth_at_detection,controller_event_queue_depth_peak_until_detection,controller_events_until_detection,pre_fault_fidelity,post_fault_fidelity,post_recovery_fidelity,node_count,link_count,sync_duration_ms,api_call_count,pre_fault_total_packets,pre_fault_total_bytes,post_detection_total_packets,post_detection_total_bytes,post_recovery_total_packets,post_recovery_total_bytes,resource_log_file,Run_Order,repeat_index,configured_repeat_count
recovery_scenario,2026-04-25T11:09:51.225034+00:00,2026-04-25T11:09:53.751524+00:00,2026-04-25T11:09:58.589304+00:00,2.52649,4.586785,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,10,10.0,44,44,7,0.8418627228218363,0.7597418733015625,0.9680861815582296,8,10,2817.6346980035305,28,454,35604,2612,5421120,10742,25446932,data/exports/load_linearity_recovery_randomized_uniform60_rep01_10pct_resource_logs.csv,1,1,5
recovery_scenario,2026-04-25T11:10:11.294142+00:00,2026-04-25T11:10:12.472394+00:00,2026-04-25T11:10:14.571609+00:00,1.178252,1.608422,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,44,44,7,0.8411443116712441,0.8754458303604232,0.9756491606191007,8,10,98.77799300011247,28,448,34964,5418,18544804,6352,20285308,data/exports/load_linearity_recovery_randomized_uniform60_rep01_50pct_resource_logs.csv,2,1,5
recovery_scenario,2026-04-25T11:10:27.385098+00:00,2026-04-25T11:10:28.402830+00:00,2026-04-25T11:10:31.055196+00:00,1.017732,2.045136,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,43,43,6,0.8412476378209157,0.864113422565231,0.9720616536282483,8,10,660.8267489355057,28,448,35032,6286,18219268,18831,46820120,data/exports/load_linearity_recovery_randomized_uniform60_rep01_80pct_resource_logs.csv,3,1,5
recovery_scenario,2026-04-25T11:10:44.050614+00:00,2026-04-25T11:10:47.897176+00:00,2026-04-25T11:10:51.818766+00:00,3.846562,3.55263,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,44,44,7,0.8403698811702082,0.8333064499857126,0.979485084057704,8,10,2327.1757969632745,28,458,35904,5426,19149788,25338,62123108,data/exports/load_linearity_recovery_randomized_uniform60_rep01_30pct_resource_logs.csv,4,1,5
recovery_scenario,2026-04-25T11:11:04.726360+00:00,2026-04-25T11:11:08.059080+00:00,2026-04-25T11:11:12.286084+00:00,3.33272,3.748802,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,10,10.0,44,44,7,0.8417155860160039,0.8803738033075726,0.983274415700587,8,10,2243.212191038765,28,454,35588,2436,5409296,6814,7273824,data/exports/load_linearity_recovery_randomized_uniform60_rep02_10pct_resource_logs.csv,5,2,5
recovery_scenario,2026-04-25T11:11:25.254828+00:00,2026-04-25T11:11:28.701899+00:00,2026-04-25T11:11:31.920279+00:00,3.447071,2.938905,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,44,44,7,0.8409830810052265,0.8662681532806177,0.9923331256251094,8,10,1284.8165610339493,28,447,34904,5164,17646152,22650,60409248,data/exports/load_linearity_recovery_randomized_uniform60_rep02_30pct_resource_logs.csv,6,2,5
recovery_scenario,2026-04-25T11:11:44.554271+00:00,2026-04-25T11:11:46.409925+00:00,2026-04-25T11:11:49.310067+00:00,1.855654,2.532562,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,44,44,7,0.8414575031790392,0.8873114950859171,0.9767457370792125,8,10,899.9078150372952,28,444,34660,6932,22527392,22291,64618196,data/exports/load_linearity_recovery_randomized_uniform60_rep02_50pct_resource_logs.csv,7,2,5
recovery_scenario,2026-04-25T11:12:02.500434+00:00,2026-04-25T11:12:03.536583+00:00,2026-04-25T11:12:07.390024+00:00,1.036149,3.234596,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,44,44,7,0.8417158497585967,0.8605886589446221,0.9760122452831018,8,10,1863.1339179119095,28,446,34744,5344,19729576,9678,37208076,data/exports/load_linearity_recovery_randomized_uniform60_rep02_80pct_resource_logs.csv,8,2,5
recovery_scenario,2026-04-25T11:12:19.875107+00:00,2026-04-25T11:12:21.080361+00:00,2026-04-25T11:12:23.243998+00:00,1.205254,1.699636,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,44,44,6,0.8419847153306227,0.8793589581963723,0.9816068772642117,8,10,138.29028001055121,28,452,35276,6730,19774936,19655,50942222,data/exports/load_linearity_recovery_randomized_uniform60_rep03_80pct_resource_logs.csv,9,3,5
recovery_scenario,2026-04-25T11:12:35.824446+00:00,2026-04-25T11:12:37.704346+00:00,2026-04-25T11:12:40.082406+00:00,1.8799,2.060458,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,44,44,7,0.8415114151109482,0.8797563915329312,0.9784358479484233,8,10,374.9040859984234,28,446,34792,4582,15471588,12006,20472060,data/exports/load_linearity_recovery_randomized_uniform60_rep03_30pct_resource_logs.csv,10,3,5
