timestamp,scenario_name,background_traffic,background_load_percent,repeat_index,event_name,process_name,pid,cpu_percent,rss_bytes,ctx_switches_voluntary,ctx_switches_involuntary,ctx_switches_total,ctx_switches_delta,ctx_switches_per_second
2026-04-25T11:09:42.685297+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,65187840,420,62,482,0,0.0
2026-04-25T11:09:42.685297+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,0.0,57647104,7,8,15,0,0.0
2026-04-25T11:09:42.787350+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,65216512,420,62,482,0,0.0
2026-04-25T11:09:42.787350+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,0.0,57667584,8,9,17,2,19.8772
2026-04-25T11:09:42.887911+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,9.9,65224704,506,70,576,94,934.8975
2026-04-25T11:09:42.887911+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,59.7,58003456,32,23,55,38,378.2033
2026-04-25T11:09:42.988372+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,65224704,597,70,667,91,906.0452
2026-04-25T11:09:42.988372+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,29.9,58011648,52,24,76,21,208.7042
2026-04-25T11:09:43.017013+00:00,recovery_scenario,iperf_tcp,10,1,service_started,,,,,,,,,
2026-04-25T11:09:43.089078+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,19.9,66002944,623,71,694,27,268.0653
2026-04-25T11:09:43.089078+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,39.7,58114048,110,24,134,58,577.0745
2026-04-25T11:09:43.190192+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,66007040,624,71,695,1,9.8863
2026-04-25T11:09:43.190192+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,39.5,58167296,142,25,167,33,325.6221
2026-04-25T11:09:43.290981+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,66007040,624,71,695,0,0.0
2026-04-25T11:09:43.290981+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,39.7,58200064,199,25,224,57,566.8972
2026-04-25T11:09:43.393426+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,66007040,624,71,695,0,0.0
2026-04-25T11:09:43.393426+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,19.5,58200064,221,25,246,22,214.4908
2026-04-25T11:09:43.497737+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,66007040,624,71,695,0,0.0
2026-04-25T11:09:43.497737+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,19.2,58200064,247,25,272,26,249.238
2026-04-25T11:09:43.598353+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,66007040,624,71,695,0,0.0
2026-04-25T11:09:43.598353+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,29.8,58204160,264,26,290,18,178.9553
2026-04-25T11:09:43.698904+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,66007040,624,71,695,0,0.0
2026-04-25T11:09:43.698904+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,19.9,58208256,289,26,315,25,248.8265
2026-04-25T11:09:43.799351+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,10.0,66007040,624,71,695,0,0.0
2026-04-25T11:09:43.799351+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,10.0,58212352,304,26,330,15,149.0583
2026-04-25T11:09:43.900028+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,66007040,624,71,695,0,0.0
2026-04-25T11:09:43.900028+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,39.7,58212352,325,26,351,21,208.9237
2026-04-25T11:09:44.000534+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,9.9,66007040,624,71,695,0,0.0
2026-04-25T11:09:44.000534+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,9.9,58220544,338,26,364,13,129.1785
2026-04-25T11:09:44.101147+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,66007040,624,71,695,0,0.0
2026-04-25T11:09:44.101147+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,29.8,58228736,383,26,409,45,447.6705
2026-04-25T11:09:44.202293+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,66007040,624,71,695,0,0.0
2026-04-25T11:09:44.202293+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,19.7,58236928,410,26,436,27,266.2584
2026-04-25T11:09:44.303140+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,66007040,624,71,695,0,0.0
2026-04-25T11:09:44.303140+00:00,recovery_scenario,iperf_tcp,10,1,,ryu_controller,488628,19.9,58236928,440,26,466,30,298.4361
2026-04-25T11:09:44.403589+00:00,recovery_scenario,iperf_tcp,10,1,,twin_core,488635,0.0,66007040,624,71,695,0,0.0
