timestamp,scenario_name,background_traffic,background_load_percent,repeat_index,event_name,process_name,pid,cpu_percent,rss_bytes,ctx_switches_voluntary,ctx_switches_involuntary,ctx_switches_total,ctx_switches_delta,ctx_switches_per_second
2026-04-24T22:18:09.366451+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,405717,0.0,68243456,28697,5241,33938,0,0.0
2026-04-24T22:18:09.366451+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,405707,0.0,61968384,60073,256177,316250,0,0.0
2026-04-24T22:18:09.468525+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,405717,0.0,68243456,28751,5247,33998,60,596.9505
2026-04-24T22:18:09.468525+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,405707,39.7,61968384,60090,256195,316285,35,347.5881
2026-04-24T22:18:09.569108+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,405717,9.9,68243456,28848,5248,34096,98,974.2086
2026-04-24T22:18:09.569108+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,405707,19.9,61968384,60133,256197,316330,45,448.1487
2026-04-24T22:18:09.612389+00:00,recovery_scenario,iperf_tcp,80,1,service_started,,,,,,,,,
2026-04-24T22:18:09.669536+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,405717,10.0,68243456,28895,5248,34143,47,468.0245
2026-04-24T22:18:09.669536+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,405707,59.7,61968384,60174,256198,316372,42,417.7448
2026-04-24T22:18:09.770091+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,405717,9.9,68243456,28896,5248,34144,1,9.943
2026-04-24T22:18:09.770091+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,405707,19.9,61968384,60199,256198,316397,25,248.8805
2026-04-24T22:18:09.870524+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,405717,0.0,68243456,28896,5248,34144,0,0.0
2026-04-24T22:18:09.870524+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,405707,19.9,61968384,60244,256198,316442,45,447.1355
