scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,sync_mode,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,pre_fault_fidelity,post_fault_fidelity,post_recovery_fidelity,node_count,link_count,sync_duration_ms,api_call_count,pre_fault_total_packets,pre_fault_total_bytes,post_detection_total_packets,post_detection_total_bytes,post_recovery_total_packets,post_recovery_total_bytes,repeat_index,configured_repeat_count
recovery_scenario,2026-04-05T10:05:00+00:00,2026-04-05T10:05:00.268494+00:00,2026-04-05T10:05:01.189425+00:00,0.268494,0.920931,1.0,"Polling=1.0s, run 1/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,42.31,18,,,,,,,1,3
recovery_scenario,2026-04-05T10:10:00+00:00,2026-04-05T10:10:00.327394+00:00,2026-04-05T10:10:01.337643+00:00,0.327394,1.010249,1.0,"Polling=1.0s, run 2/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,31.47,18,,,,,,,2,3
recovery_scenario,2026-04-05T10:15:00+00:00,2026-04-05T10:15:00.510197+00:00,2026-04-05T10:15:01.483497+00:00,0.510197,0.9733,1.0,"Polling=1.0s, run 3/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,50.71,18,,,,,,,3,3
link_flap_scenario,2026-04-05T10:20:00+00:00,2026-04-05T10:20:00.229502+00:00,,0.229502,,1.0,"Polling=1.0s, run 1/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,43.46,18,,,,,,,1,3
link_flap_scenario,2026-04-05T10:25:00+00:00,2026-04-05T10:25:00.521546+00:00,,0.521546,,1.0,"Polling=1.0s, run 2/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,37.65,18,,,,,,,2,3
link_flap_scenario,2026-04-05T10:30:00+00:00,2026-04-05T10:30:00.195329+00:00,,0.195329,,1.0,"Polling=1.0s, run 3/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,39.27,18,,,,,,,3,3
recovery_scenario,2026-04-05T10:35:00+00:00,2026-04-05T10:35:00.506699+00:00,2026-04-05T10:35:02.590700+00:00,0.506699,2.084001,2.0,"Polling=2.0s, run 1/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,48.45,18,,,,,,,1,3
recovery_scenario,2026-04-05T10:40:00+00:00,2026-04-05T10:40:00.419159+00:00,2026-04-05T10:40:02.158821+00:00,0.419159,1.739662,2.0,"Polling=2.0s, run 2/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,39.82,18,,,,,,,2,3
recovery_scenario,2026-04-05T10:45:00+00:00,2026-04-05T10:45:00.598827+00:00,2026-04-05T10:45:02.648676+00:00,0.598827,2.049849,2.0,"Polling=2.0s, run 3/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,32.22,18,,,,,,,3,3
link_flap_scenario,2026-04-05T10:50:00+00:00,2026-04-05T10:50:00.476495+00:00,,0.476495,,2.0,"Polling=2.0s, run 1/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,48.99,18,,,,,,,1,3
