timestamp,scenario_name,background_traffic,background_load_percent,repeat_index,event_name,process_name,pid,cpu_percent,rss_bytes,ctx_switches_voluntary,ctx_switches_involuntary,ctx_switches_total,ctx_switches_delta,ctx_switches_per_second
2026-05-09T14:22:27.190567+00:00,recovery_scenario,none,,1,,twin_core,548136,0.0,23523328,506,62,568,0,0.0
2026-05-09T14:22:27.190567+00:00,recovery_scenario,none,,1,,ryu_controller,548127,0.0,57618432,123,6,129,0,0.0
2026-05-09T14:22:27.296693+00:00,recovery_scenario,none,,1,,twin_core,548136,0.0,23584768,508,62,570,2,19.1226
2026-05-09T14:22:27.296693+00:00,recovery_scenario,none,,1,,ryu_controller,548127,0.0,57618432,123,6,129,0,0.0
2026-05-09T14:22:27.398367+00:00,recovery_scenario,none,,1,,twin_core,548136,0.0,23584768,508,62,570,0,0.0
2026-05-09T14:22:27.398367+00:00,recovery_scenario,none,,1,,ryu_controller,548127,0.0,57618432,123,6,129,0,0.0
2026-05-09T14:22:27.502038+00:00,recovery_scenario,none,,1,,twin_core,548136,0.0,23584768,508,62,570,0,0.0
2026-05-09T14:22:27.502038+00:00,recovery_scenario,none,,1,,ryu_controller,548127,0.0,57618432,123,6,129,0,0.0
2026-05-09T14:22:27.603216+00:00,recovery_scenario,none,,1,,twin_core,548136,0.0,23584768,508,62,570,0,0.0
2026-05-09T14:22:27.603216+00:00,recovery_scenario,none,,1,,ryu_controller,548127,9.9,57643008,127,6,133,4,39.5634
2026-05-09T14:22:27.707906+00:00,recovery_scenario,none,,1,,twin_core,548136,0.0,23584768,508,62,570,0,0.0
2026-05-09T14:22:27.707906+00:00,recovery_scenario,none,,1,,ryu_controller,548127,0.0,57643008,127,6,133,0,0.0
2026-05-09T14:22:27.808655+00:00,recovery_scenario,none,,1,,twin_core,548136,0.0,23584768,508,62,570,0,0.0
2026-05-09T14:22:27.808655+00:00,recovery_scenario,none,,1,,ryu_controller,548127,0.0,57643008,127,6,133,0,0.0
2026-05-09T14:22:27.909256+00:00,recovery_scenario,none,,1,,twin_core,548136,0.0,23584768,511,62,573,3,29.8452
2026-05-09T14:22:27.909256+00:00,recovery_scenario,none,,1,,ryu_controller,548127,0.0,57724928,137,7,144,11,109.4533
2026-05-09T14:22:28.009700+00:00,recovery_scenario,none,,1,,twin_core,548136,10.0,23588864,608,66,674,101,1005.7112
2026-05-09T14:22:28.009700+00:00,recovery_scenario,none,,1,,ryu_controller,548127,49.8,57962496,150,14,164,20,198.9888
2026-05-09T14:22:28.107741+00:00,recovery_scenario,none,,1,service_started,,,,,,,,,
2026-05-09T14:22:28.110584+00:00,recovery_scenario,none,,1,,twin_core,548136,19.8,24281088,716,66,782,108,1068.4088
2026-05-09T14:22:28.110584+00:00,recovery_scenario,none,,1,,ryu_controller,548127,9.9,57987072,158,17,175,11,108.8926
2026-05-09T14:22:28.211440+00:00,recovery_scenario,none,,1,,twin_core,548136,9.9,24457216,717,66,783,1,9.9296
2026-05-09T14:22:28.211440+00:00,recovery_scenario,none,,1,,ryu_controller,548127,59.6,58073088,210,17,227,52,516.4258
2026-05-09T14:22:28.311916+00:00,recovery_scenario,none,,1,,twin_core,548136,0.0,24457216,717,66,783,0,0.0
2026-05-09T14:22:28.311916+00:00,recovery_scenario,none,,1,,ryu_controller,548127,19.9,58081280,233,17,250,23,228.6213
2026-05-09T14:22:28.412528+00:00,recovery_scenario,none,,1,,twin_core,548136,0.0,24457216,717,66,783,0,0.0
2026-05-09T14:22:28.412528+00:00,recovery_scenario,none,,1,,ryu_controller,548127,29.9,58085376,255,17,272,22,218.9641
2026-05-09T14:22:28.513039+00:00,recovery_scenario,none,,1,,twin_core,548136,0.0,24457216,717,66,783,0,0.0
2026-05-09T14:22:28.513039+00:00,recovery_scenario,none,,1,,ryu_controller,548127,19.9,58085376,275,17,292,20,198.8438
2026-05-09T14:22:28.613574+00:00,recovery_scenario,none,,1,,twin_core,548136,0.0,24457216,717,66,783,0,0.0
