scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,sync_mode,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,pre_fault_fidelity,post_fault_fidelity,post_recovery_fidelity,node_count,link_count,sync_duration_ms,api_call_count,pre_fault_total_packets,pre_fault_total_bytes,post_detection_total_packets,post_detection_total_bytes,post_recovery_total_packets,post_recovery_total_bytes,repeat_index,configured_repeat_count
recovery_scenario,2026-04-05T10:05:00+00:00,2026-04-05T10:05:00.432709+00:00,2026-04-05T10:05:02.026773+00:00,0.432709,1.594064,2.0,Run 1/3 on geant_backbone_8cities_stage3 with none traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,0.9868,0.8612,0.9925,8,10,41.44,18,1356,409588,4656,136663,1744,248246,1,3
recovery_scenario,2026-04-05T10:10:00+00:00,2026-04-05T10:10:00.534238+00:00,2026-04-05T10:10:02.189083+00:00,0.534238,1.654845,2.0,Run 2/3 on geant_backbone_8cities_stage3 with none traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,0.9513,0.8039,0.9755,8,10,47.82,18,3232,319949,3005,355514,6327,441704,2,3
recovery_scenario,2026-04-05T10:15:00+00:00,2026-04-05T10:15:00.454999+00:00,2026-04-05T10:15:02.059051+00:00,0.454999,1.604052,2.0,Run 3/3 on geant_backbone_8cities_stage3 with none traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,0.967,0.7987,0.997,8,10,44.66,18,2378,153587,1959,319191,2292,526417,3,3
recovery_scenario,2026-04-05T10:20:00+00:00,2026-04-05T10:20:01.163007+00:00,2026-04-05T10:20:03.365119+00:00,1.163007,2.202112,2.0,Run 1/3 on geant_backbone_8cities_stage3 with icmp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,icmp,3,0.9904,0.8676,0.9675,8,10,36.43,18,4985,298461,1845,409428,3901,529201,1,3
recovery_scenario,2026-04-05T10:25:00+00:00,2026-04-05T10:25:01.183380+00:00,2026-04-05T10:25:03.052902+00:00,1.18338,1.869522,2.0,Run 2/3 on geant_backbone_8cities_stage3 with icmp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,icmp,3,0.9645,0.7896,0.9463,8,10,45.45,18,1413,299295,3477,357717,6707,532554,2,3
recovery_scenario,2026-04-05T10:30:00+00:00,2026-04-05T10:30:01.627185+00:00,2026-04-05T10:30:03.764715+00:00,1.627185,2.13753,2.0,Run 3/3 on geant_backbone_8cities_stage3 with icmp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,icmp,3,0.9835,0.8642,0.9778,8,10,46.0,18,1292,419360,2601,400043,3505,321339,3,3
recovery_scenario,2026-04-05T10:35:00+00:00,2026-04-05T10:35:00.811207+00:00,2026-04-05T10:35:02.696613+00:00,0.811207,1.885406,2.0,Run 1/3 on geant_backbone_8cities_stage3 with iperf_tcp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,iperf_tcp,6,0.961,0.8189,0.9838,8,10,48.81,18,1229,220087,1462,542075,4084,570651,1,3
recovery_scenario,2026-04-05T10:40:00+00:00,2026-04-05T10:40:00.825850+00:00,2026-04-05T10:40:02.661300+00:00,0.82585,1.83545,2.0,Run 2/3 on geant_backbone_8cities_stage3 with iperf_tcp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,iperf_tcp,6,0.9971,0.8852,0.952,8,10,45.42,18,3684,361740,4441,583828,6766,631141,2,3
recovery_scenario,2026-04-05T10:45:00+00:00,2026-04-05T10:45:01.011543+00:00,2026-04-05T10:45:02.943019+00:00,1.011543,1.931476,2.0,Run 3/3 on geant_backbone_8cities_stage3 with iperf_tcp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,iperf_tcp,6,0.9874,0.8314,0.9708,8,10,41.8,18,2482,214987,2333,387138,5542,245325,3,3
link_flap_scenario,2026-04-05T10:50:00+00:00,2026-04-05T10:50:00.355618+00:00,,0.355618,,2.0,Run 1/3 on geant_backbone_8cities_stage3 with none traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,0.9576,0.7992,,8,10,42.36,18,3787,321333,1720,321728,,,1,3
