scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,sync_mode,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,pre_fault_fidelity,post_fault_fidelity,post_recovery_fidelity,node_count,link_count,sync_duration_ms,api_call_count,pre_fault_total_packets,pre_fault_total_bytes,post_detection_total_packets,post_detection_total_bytes,post_recovery_total_packets,post_recovery_total_bytes,repeat_index,configured_repeat_count
recovery_scenario,2026-04-23T13:43:10.332312+00:00,2026-04-23T13:43:11.682604+00:00,2026-04-23T13:43:13.761044+00:00,1.350292,1.855703,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,0.9970523237429073,0.9258022601990864,0.9881602217156162,8,10,44.059199979528785,28,391,29862,391,29862,412,31780,1,10
recovery_scenario,2026-04-23T13:43:21.897520+00:00,2026-04-23T13:43:22.214647+00:00,2026-04-23T13:43:24.275389+00:00,0.317127,1.822905,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,0.9596078270222356,0.9331085139872783,0.9984238826804279,8,10,60.1775620598346,28,336,26440,438,34436,514,39772,2,10
recovery_scenario,2026-04-23T13:43:31.517598+00:00,2026-04-23T13:43:31.887631+00:00,2026-04-23T13:43:33.950874+00:00,0.370033,1.884529,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,0.9562240613630391,0.9329653144319516,0.9996343454513744,8,10,61.526857083663344,28,326,25552,434,33892,510,39244,3,10
recovery_scenario,2026-04-23T13:43:40.996947+00:00,2026-04-23T13:43:41.397330+00:00,2026-04-23T13:43:43.475629+00:00,0.400383,1.926569,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,0.9584537951467745,0.9301432647211365,0.999306585212939,8,10,75.6874110084027,28,334,26256,440,34456,525,40378,4,10
recovery_scenario,2026-04-23T13:43:50.621102+00:00,2026-04-23T13:43:50.972190+00:00,2026-04-23T13:43:53.032316+00:00,0.351088,1.864338,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,0.9581956890520991,0.9331355990243138,0.9985215912900832,8,10,60.06536399945617,28,337,26566,456,35760,528,40944,5,10
recovery_scenario,2026-04-23T13:44:00.103389+00:00,2026-04-23T13:44:00.468264+00:00,2026-04-23T13:44:02.531802+00:00,0.364875,1.880899,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,0.9551817038172127,0.932817485588401,0.9997330600974617,8,10,59.03478409163654,28,331,25878,442,34476,518,39636,6,10
recovery_scenario,2026-04-23T13:44:09.710238+00:00,2026-04-23T13:44:10.030305+00:00,2026-04-23T13:44:12.093196+00:00,0.320067,1.836195,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,0.9581012054571033,0.9296839121303421,0.9980319905516762,8,10,62.553349998779595,28,343,27162,450,35348,512,39824,7,10
recovery_scenario,2026-04-23T13:44:19.322517+00:00,2026-04-23T13:44:19.655002+00:00,2026-04-23T13:44:21.721233+00:00,0.332485,1.851904,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,0.9568100507491164,0.9316760938832843,0.9983660276321233,8,10,61.73836998641491,28,337,26538,450,35276,522,40628,8,10
recovery_scenario,2026-04-23T13:44:28.843880+00:00,2026-04-23T13:44:29.241241+00:00,2026-04-23T13:44:31.297301+00:00,0.397361,1.898307,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,0.9573181743345935,0.9329927115283226,0.9992613765054791,8,10,56.00727000273764,28,340,26876,452,35496,530,41060,9,10
recovery_scenario,2026-04-23T13:44:38.464094+00:00,2026-04-23T13:44:38.842813+00:00,2026-04-23T13:44:40.906042+00:00,0.378719,1.896389,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,0.9566964980357093,0.9331534488048359,0.9996414783494788,8,10,62.062581069767475,28,331,25994,444,34768,554,42988,10,10
