scenario_name,sync_mode,topology_name,topology_file,target_link,controller_app,background_traffic,configured_repeat_count,poll_interval,samples,detection_samples,detection_mean,detection_p95,detection_stddev,recovery_samples,recovery_mean,recovery_p95,recovery_stddev
link_flap_scenario_down_1,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,icmp,10,2.0,10,10,0.9700137,1.464298,0.5762330292144057,0,,,
link_flap_scenario_down_1,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,10,2.0,10,10,0.7194974,0.911465,0.1647984380819187,0,,,
link_flap_scenario_down_1,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,none,10,2.0,10,10,0.3598488,0.384287,0.030334910597527725,0,,,
link_flap_scenario_down_2,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,icmp,10,2.0,10,10,0.9261187,1.811051,0.6054769437415516,0,,,
link_flap_scenario_down_2,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,10,2.0,10,10,1.6691060999999998,1.82785,0.12233611810945286,0,,,
link_flap_scenario_down_2,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,none,10,2.0,10,10,0.5175314,0.649634,0.4560225743460953,0,,,
link_flap_scenario_up_1,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,icmp,10,2.0,10,0,,,,10,1.8143897,1.957389,0.130533745336637
link_flap_scenario_up_1,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,10,2.0,10,0,,,,10,1.828459,1.976138,0.16524998709894048
link_flap_scenario_up_1,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,none,10,2.0,10,0,,,,10,1.8775543,1.901305,0.0228718044283786
multi_fault_scenario_fault_1,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,icmp,10,2.0,10,10,1.0684251,1.480214,0.5272001759126129,0,,,
multi_fault_scenario_fault_1,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,10,2.0,10,10,0.7044788000000001,0.814865,0.12485188455750276,0,,,
multi_fault_scenario_fault_1,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,none,10,2.0,10,10,0.3816338,0.398629,0.016654225216442827,0,,,
multi_fault_scenario_fault_2,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Frankfurt-Prague,src.controller.topology_aware_switch,icmp,10,2.0,10,10,0.7977685,1.643641,0.55942884306429,0,,,
multi_fault_scenario_fault_2,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Frankfurt-Prague,src.controller.topology_aware_switch,iperf_tcp,10,2.0,10,10,1.6948418,1.933269,0.30210688581917494,0,,,
multi_fault_scenario_fault_2,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Frankfurt-Prague,src.controller.topology_aware_switch,none,10,2.0,10,10,0.590842,0.610185,0.4594634800373148,0,,,
recovery_scenario,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,icmp,10,2.0,10,10,1.1438846999999999,1.451373,0.29879757994704376,10,1.7895172000000001,1.940586,0.16964449281235158
recovery_scenario,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,10,2.0,10,10,0.7689443,0.925493,0.1658526236711678,10,1.8857457,1.9045,0.1912485115252142
recovery_scenario,polling,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,none,10,2.0,10,10,0.45824300000000007,0.400383,0.29865231809681303,10,1.8717737999999997,1.898307,0.02986767220189748
